"Date","NumTradePeriodsStudied","Offer","Trader","Generation (MWh)","FIR (MWh)","SIR (MWh)"
"20-OCT-2013 00:00",1.00,"ARA2201 ARA0","38486",13.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"ARG1101 BRR0","38546",5.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"ARI1101 ARI0","38486",23.00,0.00,0.00
"20-OCT-2013 00:00",1.00,"ARI1102 ARI0","38486",10.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"ASB0661 HBK0","38546",7.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"ATI2201 ATI0","38486",7.51,1.00,1.50
"20-OCT-2013 00:00",1.00,"AVI2201 AVI0","38481",48.13,3.60,8.87
"20-OCT-2013 00:00",1.00,"BEN2202 BEN0","38481",119.31,8.93,10.71
"20-OCT-2013 00:00",1.00,"BOB1101","38428",0.00,0.25,1.66
"20-OCT-2013 00:00",1.00,"COL0661 COL0","38546",19.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"CPK0331","38555",0.00,0.00,2.01
"20-OCT-2013 00:00",1.00,"CYD2201 CYD0","38433",82.50,11.55,14.03
"20-OCT-2013 00:00",1.00,"GLN0332 GLN0","38412",18.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"HIN0331","38511",0.00,0.00,0.60
"20-OCT-2013 00:00",1.00,"HLY2201 HLY5","38459",145.00,0.00,0.00
"20-OCT-2013 00:00",1.00,"HWA1101 PTA1","38546",5.25,0.00,0.00
"20-OCT-2013 00:00",1.00,"HWA1101 PTA2","38546",5.25,0.00,0.00
"20-OCT-2013 00:00",1.00,"HWA1102 WAA0","38539",3.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"HWA1102 WAA1","38481",3.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"KAW0112 ONU0","38527",10.00,0.00,0.00
"20-OCT-2013 00:00",1.00,"KAW0113","38527",0.00,15.50,15.50
"20-OCT-2013 00:00",1.00,"KAW1101 KAG0","38486",50.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"KIN0112 KIN0","38546",17.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"KIN0331","38511",0.00,0.00,0.40
"20-OCT-2013 00:00",1.00,"KPA1101 KPI1","38539",9.00,0.00,0.00
"20-OCT-2013 00:00",1.00,"KPO1101 KPO0","38486",23.00,0.00,0.00
"20-OCT-2013 00:00",1.00,"KPU0661","38511",0.00,0.00,0.50
"20-OCT-2013 00:00",1.00,"KUM0661 KUM0","38546",1.75,0.00,0.00
"20-OCT-2013 00:00",1.00,"MAN2201 MAN0","38481",190.00,0.00,0.00
"20-OCT-2013 00:00",1.00,"MAT1101 ANI0","38539",8.25,0.00,0.00
"20-OCT-2013 00:00",1.00,"MAT1102 MAT0","38546",11.00,5.06,4.84
"20-OCT-2013 00:00",1.00,"MTI2201 MTI0","38486",41.50,16.00,19.00
"20-OCT-2013 00:00",1.00,"NAP2202 NTM0","38486",40.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"NSY0331 PAE0","38546",5.75,0.00,0.00
"20-OCT-2013 00:00",1.00,"OHA2201 OHA0","38481",57.15,4.28,10.53
"20-OCT-2013 00:00",1.00,"OHB2201 OHB0","38481",46.46,3.47,8.56
"20-OCT-2013 00:00",1.00,"OHC2201 OHC0","38481",46.46,3.47,4.21
"20-OCT-2013 00:00",1.00,"OKI2201 OKI0","38433",19.00,0.00,0.00
"20-OCT-2013 00:00",1.00,"OTA2202 OTC0","38433",109.50,0.00,29.00
"20-OCT-2013 00:00",1.00,"PEN0331","38552",0.00,0.00,8.94
"20-OCT-2013 00:00",1.00,"PPI2201 PPI0","38433",25.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"PRM0331","38459",0.00,7.50,7.50
"20-OCT-2013 00:00",1.00,"ROT1101 WHE0","38546",6.00,0.48,0.40
"20-OCT-2013 00:00",1.00,"ROX1101 ROX0","38433",50.00,0.00,0.00
"20-OCT-2013 00:00",1.00,"ROX2201 ROX0","38433",82.00,0.00,0.00
"20-OCT-2013 00:00",1.00,"RPO2201 RPO0","38459",51.00,9.00,9.00
"20-OCT-2013 00:00",1.00,"STK0331","38459",0.00,1.70,2.10
"20-OCT-2013 00:00",1.00,"TGA0331 KMI0","38546",15.00,0.00,0.00
"20-OCT-2013 00:00",1.00,"TKA0111 TKA1","38459",5.80,0.00,0.00
"20-OCT-2013 00:00",1.00,"TKB2201 TKB1","38459",34.20,0.00,0.00
"20-OCT-2013 00:00",1.00,"TKU2201 TKU0","38459",75.00,0.00,0.00
"20-OCT-2013 00:00",1.00,"TNG0111","38567",0.00,3.50,8.75
"20-OCT-2013 00:00",1.00,"TUI1101 PRI0","38459",2.75,1.70,5.00
"20-OCT-2013 00:00",1.00,"TUI1101 TUI0","38459",4.25,0.00,5.00
"20-OCT-2013 00:00",1.00,"TWH0331 TRC1","38433",21.00,0.00,0.00
"20-OCT-2013 00:00",1.00,"WHI0111","38515",0.00,20.00,20.00
"20-OCT-2013 00:00",1.00,"WHU0331","38511",0.00,0.00,0.40
"20-OCT-2013 00:00",1.00,"WKM2201 MOK0","38547",56.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"WKM2201 WKM0","38486",23.00,0.00,0.00
"20-OCT-2013 00:00",1.00,"WKO0331","38511",0.00,0.00,0.50
"20-OCT-2013 00:00",1.00,"WPA2201 WPA0","38486",11.00,0.00,4.50
"20-OCT-2013 00:00",1.00,"WRK0331 RKA0","38486",16.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"WRK0331 TAA0","38433",12.00,0.00,0.00
"20-OCT-2013 00:00",1.00,"WRK2201 WRK0","38433",72.50,0.00,0.00
"20-OCT-2013 00:00",1.00,"WTK0111 WTK0","38481",25.00,0.46,1.50
